airline_sentiment,lat,long
positive,40.74804263, -73.99295302
negative,42.361016, -71.02000488
neutral,33.94540417, -118.4062472
negative,33.94209449, -118.40410103
positive,33.2145038, -96.9321504
neutral,34.0219817, -118.38591198
neutral,33.57963333, -117.73024772
negative,40.6413712, -73.78311558
positive,36.08457854, -115.13780136
neutral,37.79374402, -122.39327564
negative,26.074379, -80.1416831
positive,33.9469039, -118.40716847
negative,51.04345575, -114.06071363
neutral,40.64662464, -73.77090177
positive,33.94652852, -118.40766257
positive,38.9128188, -77.00798226
positive,32.84359605, -96.84910929
negative,32.8437698, -96.84928399
negative,26.06726717, -80.14433663
positive,32.8454782, -96.8504585
neutral,39.24087254, -94.63994975
positive,37.77465018, -122.44032176
neutral,33.94696831, -118.40747994
negative,40.63767372, -74.11075451
neutral,40.78986648, -73.10068286
positive,42.5696777, -71.42056878
neutral,37.80065252, -122.43857414
neutral,36.08546367, -115.31814055
negative,19.43706642, -99.07927123
positive,39.8621249, -104.6740909
negative,52.59657643, -2.19877833
neutral,29.98386923, -95.33729612
negative,29.98340611, -95.33682231
negative,29.98350019, -95.33675519
negative,29.98377529, -95.33756559
negative,29.98350283, -95.33678993
negative,29.98384925, -95.3374653
negative,29.98372726, -95.33734532
negative,29.98521945, -90.25215941
negative,29.98698389, -90.25081767
negative,29.98699328, -90.25081691
negative,29.98878092, -90.25836915
negative,29.9880285, -90.25781369
negative,29.987463, -90.25860012
negative,29.98746669, -90.25862007
positive,35.8057062, -78.7869445
negative,52.48854137, -1.91022836
negative,45.58711296, -122.58038932
positive,59.38247253, 18.00789007
negative,32.86680572, -80.01338439
neutral,41.9785651, -87.90833965
neutral,53.36729431, -2.27861694
negative,41.98202331, -87.90374263
neutral,37.7994546, -122.427629
negative,41.97777091, -87.90782014
negative,41.88298649, -87.63403627
neutral,35.8056542, -78.786848
negative,33.9411179, -118.3972405
negative,41.98191311, -87.80888924
negative,39.85862444, -104.6768992
positive,38.9470418, -77.4511456
negative,41.97758714, -87.91388554
positive,38.9470207, -77.4511745
negative,40.68545235, -74.18374208
neutral,51.3228181, 5.3576138
negative,26.07324041, -80.14510971
negative,40.69943599, -74.17868875
negative,26.07694041, -80.13546475
negative,40.6992418, -74.17884798
negative,28.62111274, -81.29294408
negative,40.69814396, -74.17906717
negative,39.85790482, -104.67039013
negative,39.85799572, -104.67056217
negative,51.72050559, 8.72711201
negative,29.7420124, -95.5606921
negative,40.6875448, -74.17714813
negative,19.43493094, -99.18877967
negative,29.7421541, -95.5600896
negative,41.97745295, -87.91025951
negative,41.97475934, -87.89040377
positive,51.322819, 5.3576218
negative,41.97474769, -87.89039148
negative,41.97758466, -87.91065356
negative,29.98788997, -95.34470061
negative,45.52146907, -122.69810485
negative,41.97495038, -87.89005988
negative,29.98877308, -95.33846478
negative,41.97883697, -87.90639116
neutral,45.67920767, -111.04847652
negative,41.97888728, -87.90617197
negative,33.64323551, -84.44248239
neutral,40.69450196, -74.1749219
negative,39.24541389, -106.88172648
positive,20.0615871, 110.18390431
negative,39.84911904, -104.67447584
negative,36.08161548, -115.14959772
neutral,27.9746606, -82.5320172
negative,45.67922537, -111.04823044
negative,45.67922693, -111.04839797
negative,45.67925887, -111.04844481
negative,45.67912434, -111.04847959
negative,29.98378319, -95.33473143
neutral,-38.0271635, 145.2112317
neutral,-38.0269936, 145.2110041
negative,33.94077727, -118.39921036
negative,29.9866693, -95.3382794
negative,36.08655568, -115.1394417
positive,41.92992293, -87.66944213
positive,41.97890473, -87.91027352
neutral,41.9763291, -87.73856403
positive,51.3228191, 5.3576225
negative,43.56768225, -116.22061173
positive,38.95201335, -77.44443882
positive,43.56764134, -116.22089932
negative,39.8586527, -104.6718518
negative,40.69672337, -74.17710665
negative,47.4390828, -122.300713
negative,47.4389994, -122.3010208
negative,39.85861469, -104.67233425
neutral,-37.8536992, 145.1106176
negative,39.8586566, -104.6718497
negative,39.8586593, -104.6718352
negative,39.85873319, -104.67372668
negative,37.83520596, -122.25460611
negative,29.98704632, -95.3378275
negative,29.98707518, -95.33783524
negative,41.97862209, -87.91469774
positive,41.97456785, -87.90563774
positive,25.79104444, -80.27338351
negative,39.99829207, -82.88085401
negative,39.99814659, -82.88058383
negative,38.94562938, -77.44400264
neutral,29.98872603, -95.3384666
negative,29.98870677, -95.33845443
negative,40.6941088, -74.17545854
negative,39.99806982, -82.88439575
neutral,22.31355693, 113.92636768
negative,37.61980156, -122.38447633
negative,33.94171725, -118.39844033
negative,34.99254864, -80.92841859
positive,37.61829369, -122.39192247
neutral,21.32911863, -157.91749165
negative,38.95801195, -77.44365722
negative,38.93770157, -77.4551004
negative,37.61839686, -122.38751
negative,37.61926072, -122.38812564
negative,38.95638224, -77.43898845
negative,35.07067492, -80.7899648
negative,43.60417384, -110.7362561
negative,39.85760174, -104.66669625
positive,26.07294988, -80.14147128
negative,35.00096266, -80.87374938
negative,35.00595547, -80.89437239
positive,19.43010575, -99.18988829
negative,19.41622708, -99.16143525
negative,37.61782989, -122.39172299
negative,37.61761896, -122.39164663
negative,40.72476892, -74.09204213
negative,18.47066766, -68.40014139
