city,Negative,Neutral,Positive
The Valley,0.02,0.0,0.98
Meadow Woods,0.05,0.0,0.95
Costa Mesa,0.1,0.0,0.9
Salt Lake City,0.12,0.0,0.88
Santa Ana,0.27,0.0,0.73
Euless,0.29,0.0,0.71
La Vergne,0.2985714285714286,0.0014285714285714286,0.7
Secaucus,0.31857142857142856,0.0014285714285714286,0.68
Savannah,0.32,0.0,0.68
Plainfield,0.32,0.0,0.68
Sparks,0.33,0.0,0.67
Parole,0.33,0.0,0.67
Lubbock,0.33,0.0,0.67
Bowie,0.34,0.0,0.66
Wayne,0.33857142857142863,0.0014285714285714286,0.66
Huntington Beach,0.34,0.0,0.66
Elizabeth City,0.34,0.0,0.66
Brushy Creek,0.34,0.0,0.66
Funza,0.33857142857142863,0.0014285714285714286,0.66
Decatur,0.33857142857142863,0.0014285714285714286,0.66
North Salt Lake,0.34,0.0,0.66
Cranberry Township,0.34,0.0,0.66
Etobicoke,0.35,0.0,0.65
Leawood,0.35,0.0,0.65
Winnipeg,0.3485714285714286,0.0014285714285714286,0.65
El Dorado Hills,0.3485714285714286,0.0014285714285714286,0.65
South Jordan,0.36,0.0,0.64
Annapolis,0.36,0.0,0.64
Augusta,0.37,0.0,0.63
Boca Raton,0.37,0.0,0.63
Durham,0.3885714285714286,0.0014285714285714286,0.61
East Massapequa,0.3885714285714286,0.0014285714285714286,0.61
Westford,0.39,0.0,0.61
West Sacramento,0.39857142857142863,0.0014285714285714286,0.6
City of Milford (balance),0.4,0.0,0.6
Bergeyk,0.08,0.3238690476190476,0.5961309523809524
Frisco,0.4043928571428571,0.0,0.5956071428571428
Key West,0.4085714285714286,0.0014285714285714286,0.59
Farragut,0.41,0.0,0.59
Belvedere Park,0.41,0.0,0.59
Canarsie,0.41,0.0,0.59
American Fork,0.4085714285714286,0.0014285714285714286,0.59
White Plains,0.4177857142857142,0.0,0.5822142857142858
Port Chester,0.42,0.0,0.58
Xiuying,0.42,0.0,0.58
Rasunda,0.43,0.0,0.57
North Little Rock,0.4485714285714286,0.0014285714285714286,0.55
Flagami,0.46,0.0,0.54
Polanco,0.49616666666666676,0.0,0.5038333333333332
Overland,0.5018095238095239,0.0,0.498190476190476
Palm Springs,0.5166944444444446,0.0,0.48330555555555565
San Bruno,0.5263333333333334,0.0,0.4736666666666666
Warwick,0.5276666666666667,0.0,0.47233333333333327
Houston,0.2671666666666665,0.2607341269841269,0.4720992063492064
Boise,0.5298333333333333,0.0,0.4701666666666667
Addison,0.5372142857142856,0.0,0.46278571428571424
Cudahy,0.14,0.4028333333333334,0.45716666666666667
Cary,0.14,0.40333333333333343,0.45666666666666655
Denver,0.5621666666666666,0.0,0.4378333333333334
Boston,0.1285714285714286,0.4389285714285714,0.43250000000000005
Town 'n' Country,0.5688333333333333,0.0,0.4311666666666666
New York City,0.3374159451659452,0.23153860028860024,0.43104545454545445
Troy,0.14,0.45483333333333326,0.4051666666666667
Brentwood,0.6006666666666666,0.0,0.3993333333333334
Rubidoux,0.6083333333333334,0.0,0.3916666666666667
Chicago,0.6260352702852701,0.0,0.3739647297147297
Atascocita,0.6380833333333333,0.0,0.3619166666666666
Long Island City,0.4057142857142859,0.24746428571428564,0.3468214285714285
Kent,0.6632261904761906,0.0,0.33677380952380953
Tempe Junction,0.6637232212232211,0.0,0.33627677877677875
Golden,0.6639047619047619,0.0,0.33609523809523806
Orchards,0.684,0.0,0.316
Ossining,0.6898333333333332,0.0,0.31016666666666665
Dallas,0.694252081252081,0.0,0.3057479187479186
Jackson Heights,0.5379809912309912,0.15627815240315235,0.3057408563658563
Cicero,0.6955833333333332,0.0,0.30441666666666656
Paradise,0.6988781741993813,0.0,0.30112182580061825
Bensenville,0.6037580526604784,0.09619400397367317,0.3000479433658482
Santa Monica,0.5015063392489865,0.20156628094128082,0.29692737980973255
Oak Hill,0.7090386157100553,0.0,0.2909613842899445
El Segundo,0.6374072674445199,0.10645538519115373,0.256137347364326
Rancho Cucamonga,0.5029722222222222,0.24355555555555544,0.2534722222222221
Austin,0.4660436230436232,0.28704145854145846,0.24691491841491825
Philadelphia,0.2702936507936507,0.4857857142857144,0.24392063492063493
San Francisco,0.4336427604902835,0.3262160968030936,0.2401411427066225
Morrisville,0.522154761904762,0.24521428571428566,0.23263095238095233
Dania Beach,0.6508047785547785,0.11708159895659893,0.23211362248862252
Chelsea,0.5697058807205865,0.2280182064667358,0.20227591281267746
Brownsville,0.6301230158730157,0.18268253968253967,0.18719444444444439
Elizabeth,0.8186479076479074,0.0,0.18135209235209235
Franklin Park,0.8204938672438666,0.0,0.17950613275613275
Charlotte,0.758059893248386,0.0640404860665613,0.17789962068505275
Nashville,0.6251269841269841,0.19775396825396818,0.17711904761904754
East Point,0.6655444555444555,0.1639869574869574,0.1704685869685869
Coppell,0.6867929292929292,0.1578318903318903,0.15537518037518036
Grapevine,0.8703129093129092,0.0,0.12968709068709067
Brighton,0.7467976133119657,0.12639553474598558,0.1268068519420484
Aldine,0.8148956045716363,0.0856588800571227,0.09944551537124012
Millbrae,0.8135293972592393,0.09511894276873875,0.09135165997202156
Springfield Gardens,0.7536106695847202,0.1656138110290375,0.08077551938624195
"Washington, D.C.",0.8601774083759376,0.07351145586439702,0.06631113575966517
Seven Oaks,0.9985714285714287,0.0014285714285714286,0.0
Carolina,1.0,0.0,0.0
Wethersfield,1.0,0.0,0.0
College Point,1.0,0.0,0.0
Longview,0.05,0.95,0.0
Woodstock,0.9985714285714287,0.0014285714285714286,0.0
Whitestone,0.3285714285714286,0.6714285714285714,0.0
Dyker Heights,0.7285198412698413,0.2714801587301586,0.0
Morristown,1.0,0.0,0.0
Bridgetown,0.5596190476190478,0.4403809523809524,0.0
Somerset,0.7338730158730158,0.266126984126984,0.0
Cottonwood Heights,1.0,0.0,0.0
Wakefield,0.5906666666666666,0.4093333333333334,0.0
Queensbury,0.4,0.6,0.0
Santa Clara,0.4385714285714286,0.5614285714285714,0.0
Brooklyn,0.9985714285714287,0.0014285714285714286,0.0
Parsippany,0.9985714285714287,0.0014285714285714286,0.0
Anaheim,0.5811666666666666,0.4188333333333334,0.0
Canary Wharf,0.9985714285714287,0.0014285714285714286,0.0
Florence,1.0,0.0,0.0
Candelaria,1.0,0.0,0.0
Rancho Penasquitos,1.0,0.0,0.0
Manhattan,1.0,0.0,0.0
Weymouth,1.0,0.0,0.0
Rockland,1.0,0.0,0.0
Evanston,1.0,0.0,0.0
Seattle,1.0,0.0,0.0
Fairview Park,1.0,0.0,0.0
Rogers,0.9985714285714287,0.0014285714285714286,0.0
Midland,0.9985714285714287,0.0014285714285714286,0.0
Kannapolis,1.0,0.0,0.0
Springfield,0.12,0.88,0.0
Hollywood,1.0,0.0,0.0
Shrewsbury,1.0,0.0,0.0
Four Corners,1.0,0.0,0.0
Cartagena,0.42,0.58,0.0
Minneapolis,1.0,0.0,0.0
Battersea,1.0,0.0,0.0
Corpus Christi,0.5023333333333333,0.49766666666666665,0.0
Tempe,0.9985714285714287,0.0014285714285714286,0.0
Glendale,0.3885714285714286,0.6114285714285714,0.0
Kensington,0.9985714285714287,0.0014285714285714286,0.0
Jacksonville Beach,0.3885714285714286,0.6114285714285714,0.0
Mount Vernon,1.0,0.0,0.0
Howard Beach,1.0,0.0,0.0
Garland,1.0,0.0,0.0
Angeles City,1.0,0.0,0.0
Tacoma,1.0,0.0,0.0
Harlem,0.9985714285714287,0.0014285714285714286,0.0
Bushwick,1.0,0.0,0.0
Haltom City,0.12,0.88,0.0
North Miami,0.9985714285714287,0.0014285714285714286,0.0
Pleasantville,0.9985714285714287,0.0014285714285714286,0.0
Potomac,0.45857142857142863,0.5414285714285714,0.0
Milton,0.9985714285714287,0.0014285714285714286,0.0
Upper Saint Clair,0.9985714285714287,0.0014285714285714286,0.0
Torrance,1.0,0.0,0.0
Hilton Head,0.9985714285714287,0.0014285714285714286,0.0
Mountain Brook,1.0,0.0,0.0
Dover,1.0,0.0,0.0
West Albany,0.9985714285714287,0.0014285714285714286,0.0
Commack,1.0,0.0,0.0
Zionsville,0.9985714285714287,0.0014285714285714286,0.0
Willow Grove,1.0,0.0,0.0
Chillum,1.0,0.0,0.0
Lebanon,1.0,0.0,0.0
East Lansing,1.0,0.0,0.0
Miami Beach,1.0,0.0,0.0
Arbutus,0.9985714285714287,0.0014285714285714286,0.0
East York,1.0,0.0,0.0
Roswell,1.0,0.0,0.0
Cleveland,1.0,0.0,0.0
Universal City,0.9985714285714287,0.0014285714285714286,0.0
Okolona,0.9985714285714287,0.0014285714285714286,0.0
Lake in the Hills,0.5802142857142856,0.41978571428571426,0.0
Ashford,0.9985714285714287,0.0014285714285714286,0.0
Hoboken,1.0,0.0,0.0
Orange,0.34,0.66,0.0
Tallahassee,0.6664761904761906,0.33352380952380956,0.0
Queens Village,0.5990238095238094,0.4009761904761905,0.0
Ashtabula,0.9985714285714287,0.0014285714285714286,0.0
Long Beach,0.17857142857142858,0.8214285714285714,0.0
North Atlanta,1.0,0.0,0.0
Oakland,1.0,0.0,0.0
Gahanna,1.0,0.0,0.0
Tung Chung,0.37,0.63,0.0
Rock Hill,1.0,0.0,0.0
Honolulu,0.5228333333333335,0.4771666666666665,0.0
Matthews,1.0,0.0,0.0
Rexburg,0.9985714285714287,0.0014285714285714286,0.0
Benito Juarez,1.0,0.0,0.0
Jersey City,1.0,0.0,0.0
Punta Cana,0.7910566655566658,0.20894333444333438,0.0
Shanghai,0.4485714285714286,0.5514285714285714,0.0
Nassau,0.5534047619047618,0.44659523809523827,0.0
Lexington,1.0,0.0,0.0
Rutland,0.9985714285714287,0.0014285714285714286,0.0
Commerce City,0.9985714285714287,0.0014285714285714286,0.0
Ashland,1.0,0.0,0.0
Waltham,0.9985714285714287,0.0014285714285714286,0.0
Kissimmee,0.9985714285714287,0.0014285714285714286,0.0
Dubai,0.5951904761904762,0.4048095238095238,0.0
Conroe,0.37,0.63,0.0
Rahway,1.0,0.0,0.0
Union,1.0,0.0,0.0
West Valley City,0.34,0.66,0.0
Beverly Hills,0.46,0.54,0.0
Camberwell,0.3,0.7,0.0
SeaTac,1.0,0.0,0.0
Skokie,0.4257738095238096,0.5742261904761905,0.0
Hampton Park,0.12,0.88,0.0
Culver City,0.4085714285714286,0.5914285714285714,0.0
Aliso Viejo,0.3685714285714286,0.6314285714285713,0.0
Calgary,1.0,0.0,0.0
Gladstone,0.6728938561438561,0.3271061438561436,0.0
Port Richmond,1.0,0.0,0.0
Ronkonkoma,0.41,0.59,0.0
Summerlin South,0.26,0.74,0.0
Venustiano Carranza,0.9985714285714287,0.0014285714285714286,0.0
Wolverhampton,1.0,0.0,0.0
Kenner,1.0,0.0,0.0
Birmingham,0.5926666666666667,0.4073333333333333,0.0
North Charleston,0.9985714285714287,0.0014285714285714286,0.0
Hale,0.39,0.61,0.0
Niles,1.0,0.0,0.0
Newark,0.8658860119648076,0.13411398803519198,0.0
Winter Park,0.9985714285714287,0.0014285714285714286,0.0
Paderborn,1.0,0.0,0.0
Bellaire,1.0,0.0,0.0
Portland,1.0,0.0,0.0
Bozeman,0.8118293650793652,0.18817063492063485,0.0
Montrose,0.8814388071079244,0.11856119289207527,0.0
Aurora,1.0,0.0,0.0
Egypt Lake-Leto,0.5041731601731602,0.4958268398268399,0.0
Louisville,0.33,0.67,0.0
San Luis Obispo,1.0,0.0,0.0
Cancun,0.7031190476190478,0.29688095238095236,0.0
Baltimore,0.37,0.63,0.0
